第9周	总奖励			参与认为	人均奖励	是否是抽奖(参与人数6万)
抽奖任务1					120	5万人中奖
任务2	7000000			50000	140	
任务3	7000000			50000	140	
任务4	8000000			50000	160	
任务5	8000000			50000	160	
抽奖任务2					200	1万人中奖
抽奖任务3					300	4万人中奖
						
第10周						
抽奖任务1					120	5万人中奖
任务2	7000000			50000	140	
任务3	7000000			50000	140	
任务4	8000000			50000	160	
任务5	8000000			50000	160	
抽奖任务2					200	1万人中奖
抽奖任务3					300	4万人中奖
第11周						
任务1					200	
任务2	5000000			50000	100	
任务3	5000000			50000	100	
任务4	6000000			50000	120	
任务5	6000000			50000	120	
抽奖任务1					200	1万人中奖
任务7	10000000			4000	2500	
抽奖任务2					500	2万人中奖
第12周						
任务1					20	
任务2	3000000			50000	60	
任务3	5000000			50000	100	
任务4	8000000			50000	160	
任务5	6000000			50000	120	
任务6	6000000			50000	200	1万人中奖
任务7	8000000			50000	160	
任务8	8000000			50000	160	
抽奖任务1					250	4万人中奖
